City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Alfred,-33.5906,26.891,16.43,72,58,9.25,ZA,1662872785
Asekeyevo,53.5742,52.7972,8.84,70,92,2.56,RU,1662872786
Dargaville,-35.9333,173.8833,12.91,89,90,4.41,NZ,1662872786
Kruisfontein,-34.0033,24.7314,12.91,69,24,7.18,ZA,1662872787
Bluefields,12.0137,-83.7635,26.19,88,99,0.91,NI,1662872787
Atuona,-9.8,-139.0333,25.02,72,5,8.97,PF,1662872788
Nikolskoye,59.7035,30.7861,6.6,75,7,1.66,RU,1662872788
East London,-33.0153,27.9116,16.33,75,57,7.33,ZA,1662872789
Khatanga,71.9667,102.5,2.23,96,100,3.29,RU,1662872790
Lodwar,3.1191,35.5973,27.0,54,59,5.63,KE,1662872791
Port-Cartier,50.0334,-66.8654,13.75,95,18,0.95,CA,1662872792
Mossendjo,-2.9506,12.7261,20.78,93,100,1.23,CG,1662872792
Touros,-5.1989,-35.4608,24.08,77,3,5.69,BR,1662872794
Kaitangata,-46.2817,169.8464,12.43,71,3,6.77,NZ,1662872795
Jamestown,42.097,-79.2353,19.77,74,75,1.54,US,1662872795
Phang Nga,8.4509,98.5298,31.02,62,97,1.88,TH,1662872765
Cam Ranh,11.9214,109.1591,29.98,66,20,3.6,VN,1662872044
Aksarka,66.5606,67.7975,6.67,69,87,5.01,RU,1662872796
Klaksvík,62.2266,-6.589,12.51,93,85,9.41,FO,1662872797
Yellowknife,62.456,-114.3525,10.31,71,83,7.15,CA,1662872798
Lüderitz,-26.6481,15.1594,13.81,70,22,8.7,NA,1662872798
Sechura,-5.5569,-80.8222,16.65,84,35,4.33,PE,1662872799
Howard Springs,-12.497,131.047,35.55,48,43,4.51,AU,1662872800
Xining,36.6167,101.7667,20.04,40,0,1.31,CN,1662872790
Forio,40.7342,13.8646,24.12,78,42,4.42,IT,1662872800
Severo-Kuril'sk,50.6789,156.125,14.93,68,1,5.61,RU,1662872801
Inhambane,-23.865,35.3833,20.59,82,0,4.19,MZ,1662872802
Hamilton,39.1834,-84.5333,22.16,89,20,3.6,US,1662872803
Pizarro,4.9533,-77.366,24.5,90,99,1.21,CO,1662872803
Olafsvik,64.8945,-23.7142,8.53,84,4,7.47,IS,1662872804
Cabo San Lucas,22.8909,-109.9124,27.01,84,31,0.45,MX,1662872804
Plavsk,53.7094,37.2919,8.96,55,99,5.06,RU,1662872805
Hermanus,-34.4187,19.2345,12.67,84,99,4.18,ZA,1662872805
Mataura,-46.1927,168.8643,13.04,55,2,0.86,NZ,1662872806
Saint-Philippe,-21.3585,55.7679,23.77,75,15,3.84,RE,1662872806
Aswān,24.0934,32.907,30.1,28,51,5.25,EG,1662872808
Gamba,-2.65,10.0,22.98,87,95,2.76,GA,1662872808
San Policarpo,12.1791,125.5072,29.18,69,97,2.97,PH,1662872809
Lensk,60.7253,114.9278,12.46,52,99,3.23,RU,1662872810
Allada,6.6655,2.1514,22.66,93,100,1.91,BJ,1662872811
Torbay,47.6666,-52.7314,15.42,95,100,14.75,CA,1662872812
The Valley,18.217,-63.0578,28.79,79,14,6.67,AI,1662872812
Castro,-24.7911,-50.0119,13.88,98,100,2.78,BR,1662872813
Batamshinskiy,50.5594,58.2747,9.88,54,50,6.64,KZ,1662872814
Ancud,-41.8697,-73.8203,8.46,91,96,0.75,CL,1662872814
Sumenep,-7.0167,113.8667,30.15,60,86,3.45,ID,1662872815
Jadu,31.953,12.0261,23.84,25,0,4.52,LY,1662872817
Jiayuguan City,39.8167,98.3,28.61,9,0,6.1,CN,1662872817
Lata,40.1629,-8.3327,17.82,83,54,0.86,PT,1662872818
Lavrentiya,65.5833,-171.0,6.2,80,41,3.5,RU,1662872819
Banda Aceh,5.5577,95.3222,29.93,61,67,4.02,ID,1662872819
Winnemucca,40.973,-117.7357,14.03,26,0,2.06,US,1662872820
Chifeng,42.2683,118.9636,29.74,24,10,1.34,CN,1662872820
Iralaya,15.0,-83.2333,27.86,82,99,4.48,HN,1662872821
Beloha,-25.1667,45.05,23.03,51,0,2.09,MG,1662872822
Mkushi,-13.6202,29.3939,17.46,44,0,2.05,ZM,1662872823
Leeton,-34.5667,146.4,14.94,44,4,4.92,AU,1662872823
Rocha,-34.4833,-54.3333,3.77,89,0,2.09,UY,1662872824
Narganá,9.4428,-78.5906,26.67,84,98,2.59,PA,1662872824
Bima,-8.4667,118.7167,34.09,43,87,2.16,ID,1662872825
Kavaratti,10.5669,72.642,26.98,82,100,8.98,IN,1662872825
Padang,-0.9492,100.3543,31.03,64,45,2.43,ID,1662872826
Katihar,25.5333,87.5833,31.29,66,78,6.04,IN,1662872734
Busselton,-33.65,115.3333,16.64,67,47,3.06,AU,1662872827
Concepción de Buenos Aires,19.9667,-103.2667,13.06,96,100,1.32,MX,1662872829
Vila,42.0304,-8.1588,11.49,72,17,1.21,PT,1662872830
Berdigestyakh,62.0989,126.6992,7.68,56,65,3.47,RU,1662872830
Constitución,-35.3333,-72.4167,8.27,87,0,2.58,CL,1662872831
Pangai,-19.8,-174.35,24.72,75,95,6.65,TO,1662872832
Provideniya,64.3833,-173.3,7.07,67,96,6.84,RU,1662872832
Wāshīm,20.1,77.15,26.51,79,99,1.75,IN,1662872833
Suntar,62.1444,117.6319,8.09,71,79,3.16,RU,1662872833
Roald,62.5833,6.1333,11.53,100,75,1.54,NO,1662872834
Kununurra,-15.7667,128.7333,35.99,28,42,2.06,AU,1662872598
Smorumnedre,55.7423,12.3028,14.92,94,97,2.23,DK,1662872835
Sai Buri,6.7013,101.6168,27.2,81,98,3.09,TH,1662872836
Ayorou,14.7308,0.9174,27.58,68,83,4.78,NE,1662872836
Sol'vychegodsk,61.3305,46.9156,7.97,88,100,1.82,RU,1662872836
Norman Wells,65.282,-126.8329,8.87,81,100,6.87,CA,1662872837
Nhulunbuy,-12.2333,136.7667,31.34,55,40,5.14,AU,1662872837
Maţāy,28.419,30.7792,23.75,60,0,5.61,EG,1662872838
Juneau,58.3019,-134.4197,11.79,97,20,0.0,US,1662872839
Airai,-8.9266,125.4092,25.87,39,8,1.35,TL,1662872839
Puerto Lempira,15.2667,-83.7667,26.07,89,97,3.06,HN,1662872840
Parkhill,43.1501,-81.6831,20.96,81,100,4.12,CA,1662872840
Bengkulu,-3.8004,102.2655,28.37,67,93,2.74,ID,1662872794
Khartoum,15.5518,32.5324,29.45,63,92,1.34,SD,1662872770
Suamico,44.6319,-88.0393,15.16,93,100,4.63,US,1662872842
Mattru,7.6244,-11.8332,22.33,96,100,0.84,SL,1662872842
High Level,58.5169,-117.136,11.05,35,15,2.69,CA,1662872843
Fukuechō,32.6881,128.8419,25.84,83,87,4.63,JP,1662872616
Kendari,-3.945,122.4989,30.52,55,73,3.48,ID,1662872436
Kasempa,-13.4584,25.8338,16.64,38,0,2.23,ZM,1662872844
Paraná,-31.732,-60.5238,9.17,63,0,3.39,AR,1662872845
Pangnirtung,66.1451,-65.7125,7.91,90,100,2.79,CA,1662872845
Camacha,33.0833,-16.3333,22.68,83,40,5.66,PT,1662872846
Wajima,37.4,136.9,26.36,77,91,2.44,JP,1662872846
Rosetta,31.4044,30.4164,26.19,62,0,3.48,EG,1662872847
Satun,6.8333,100.0,30.0,92,100,0.38,TH,1662872848
Coldingham,55.8868,-2.157,11.99,81,77,2.54,GB,1662872848
Belaya Gora,68.5333,146.4167,10.74,57,100,2.74,RU,1662872850
Oranjemund,-28.55,16.4333,12.09,94,100,4.85,NA,1662872850
Esperance,-33.8667,121.9,18.47,59,26,2.59,AU,1662872850
La Tuque,47.4334,-72.7824,15.41,92,5,0.76,CA,1662872851
Salalah,17.0151,54.0924,28.05,78,75,1.03,OM,1662872852
Jucás,-6.5253,-39.5275,23.31,67,9,2.74,BR,1662872852
Lenoir City,35.7973,-84.256,21.31,96,96,0.65,US,1662872853
Hasaki,35.7333,140.8333,27.94,78,82,9.91,JP,1662872751
Dalvik,65.9702,-18.5286,9.02,99,100,4.92,IS,1662872853
Georgiyevskoye,58.731,45.024,9.46,64,100,1.69,RU,1662872854
Guadalupe y Calvo,26.1,-106.9667,12.71,93,98,2.22,MX,1662872854
Warrnambool,-38.3833,142.4833,10.95,84,100,7.5,AU,1662872855
Hong Kong,22.2855,114.1577,33.47,66,5,1.79,HK,1662872596
Seymchan,62.8833,152.4333,9.67,70,98,1.11,RU,1662872855
Vao,-22.6667,167.4833,23.51,79,79,2.42,NC,1662872856
Altay,47.8667,88.1167,25.22,31,30,4.03,CN,1662872857
Tautira,-17.7333,-149.15,25.3,74,10,8.07,PF,1662872857
Okhotsk,59.3833,143.3,14.51,47,1,10.09,RU,1662872858
Old Saybrook,41.2918,-72.3762,21.69,83,0,2.06,US,1662872858
Ilulissat,69.2167,-51.1,10.01,81,100,6.69,GL,1662872859
Ouallam,14.3188,2.0866,26.64,74,72,5.12,NE,1662872859
Bo`ka,40.8108,69.1986,21.44,23,97,3.67,UZ,1662872860
Muravlenko,63.7898,74.523,6.77,68,24,1.65,RU,1662872860
Muros,42.7762,-9.0603,15.05,93,82,2.14,ES,1662872861
Tuktoyaktuk,69.4541,-133.0374,5.16,81,75,4.98,CA,1662872861
Erzurum Province,40.0,41.5,10.82,23,0,0.34,TR,1662872862
Chizhou,30.6578,117.4831,30.98,37,1,3.55,CN,1662872724
Palmares do Sul,-30.2578,-50.5097,9.92,75,0,1.11,BR,1662872863
Wangqing,43.3218,129.7634,25.59,54,94,2.12,CN,1662872864
Djibouti,11.5,42.5,28.72,47,84,3.45,DJ,1662872865
Mount Isa,-20.7333,139.5,28.87,17,22,1.54,AU,1662872865
Rio Grande,-32.035,-52.0986,4.41,77,0,4.15,BR,1662872866
Sasaram,24.951,84.0149,31.65,63,18,6.76,IN,1662872866
Anadyr,64.75,177.4833,7.78,81,99,1.79,RU,1662872867
Uray,60.1247,64.7758,8.59,69,89,2.96,RU,1662872868
Kempele,64.9131,25.5034,5.01,93,0,2.06,FI,1662872868
Kushima,31.4583,131.2333,29.14,71,100,4.77,JP,1662872868
Ahmadpur East,29.1431,71.2598,38.64,29,0,0.33,PK,1662872869
San Ramon,37.7799,-121.978,23.79,70,75,4.12,US,1662872870
Gwanda,-20.9333,29.0,16.25,23,0,2.36,ZW,1662872870
Alamosa,37.4695,-105.87,10.99,71,20,4.63,US,1662872871
Hervey Bay,-25.2986,152.8535,21.57,47,21,3.49,AU,1662872871
Izhma,65.0083,53.9113,6.81,92,97,1.8,RU,1662872872
Meulaboh,4.1363,96.1285,29.57,61,67,2.12,ID,1662872872
Codrington,-38.2667,141.9667,10.2,89,100,5.94,AU,1662872873
Aberfoyle,-30.2667,152.0167,13.32,39,97,3.26,AU,1662872874
Amapá,1.0,-52.0,21.09,99,37,0.99,BR,1662872874
Laas,46.6166,10.7002,9.09,93,81,2.91,IT,1662872875
Starosubkhangulovo,53.1031,57.4423,8.6,63,11,2.7,RU,1662872876
Kapoeta,4.7717,33.5903,22.63,82,69,0.74,SS,1662872576
Shelburne,44.0787,-80.2041,19.78,75,100,4.02,CA,1662872876
Río Gallegos,-51.6226,-69.2181,3.03,81,0,1.54,AR,1662872710
Olinda,-8.0089,-34.8553,24.85,69,75,3.6,BR,1662872878
Blackwater,-23.5833,148.8833,25.51,27,3,1.39,AU,1662872878
Prince Rupert,54.3161,-130.3201,11.73,86,75,0.57,CA,1662872878
Vila do Maio,15.1333,-23.2167,26.78,84,44,3.4,CV,1662872879
Adiaké,5.2863,-3.304,22.08,93,81,2.23,CI,1662872879
Puerto Colombia,10.9878,-74.9547,28.05,80,16,4.02,CO,1662872880
Marzuq,14.4,46.4667,28.72,35,93,1.35,YE,1662872880
Balikpapan,-1.2675,116.8289,26.55,94,20,2.57,ID,1662872776
Invermere,50.5167,-116.0354,14.09,49,0,0.87,CA,1662872882
Wanaka,-44.7,169.15,11.73,60,68,0.89,NZ,1662872882
Narsaq,60.9167,-46.05,4.12,75,99,0.45,GL,1662872883
Monrovia,6.3005,-10.7969,24.07,90,100,3.94,LR,1662872883
Pimentel,-6.8367,-79.9342,16.37,89,13,5.85,PE,1662872885
Ankang,32.68,109.0172,28.68,55,6,0.48,CN,1662872844
Nyurba,63.2842,118.3319,8.93,47,55,3.93,RU,1662872885
Chingirlau,51.095,54.0814,10.6,53,4,4.32,KZ,1662872886
Bagotville,-28.9833,153.4167,24.24,50,13,3.3,AU,1662872887
Puerto Madryn,-42.7692,-65.0385,10.47,69,2,5.17,AR,1662872887
Balkanabat,39.5108,54.3671,23.64,24,15,3.59,TM,1662872887
Longyearbyen,78.2186,15.6401,0.91,69,40,6.69,SJ,1662872888
Shahr-e Kord,32.3256,50.8644,23.03,19,0,1.09,IR,1662872888
Nehe,48.4833,124.8333,30.94,32,100,4.52,CN,1662872889
Najrān,17.4924,44.1277,29.29,22,99,2.41,SA,1662872889
Pangody,65.85,74.4859,6.24,58,100,1.82,RU,1662872890
Iztapa,13.9333,-90.7075,25.5,85,100,0.81,GT,1662872890
San Cristobal,7.7669,-72.225,22.1,97,69,1.1,VE,1662872891
Bonavista,48.6499,-53.1147,14.03,94,100,14.39,CA,1662872892
Thessalon,46.2501,-83.5666,16.16,94,75,4.56,CA,1662872892
Nelson Bay,-32.7167,152.15,21.03,41,8,2.24,AU,1662872893
Soyo,-6.1349,12.3689,22.5,89,41,2.82,AO,1662872894
Degtyarsk,56.704,60.0879,9.24,73,95,2.89,RU,1662872895
Sitka,57.0531,-135.33,12.94,71,20,3.09,US,1662872896
Lohja,60.2486,24.0653,9.04,100,20,1.59,FI,1662872896
Paamiut,61.994,-49.6678,6.39,83,100,6.1,GL,1662872897
Garoowe,8.4054,48.4845,25.64,64,99,11.87,SO,1662872898
Praia da Vitória,38.7333,-27.0667,22.09,86,99,9.26,PT,1662872900
Tokat,40.4167,36.5833,10.09,32,0,1.31,TR,1662872900
Kholodnyy,62.7167,147.95,10.23,36,82,6.32,RU,1662872901
Beringovskiy,63.05,179.3167,7.69,83,100,8.69,RU,1662872901
Petropavlovka,50.6114,105.3196,18.09,47,26,2.26,RU,1662872902
São José da Coroa Grande,-8.8978,-35.1478,22.74,82,35,3.83,BR,1662872902
Shimoda,34.6667,138.95,27.28,66,18,7.93,JP,1662872903
Tilichiki,60.4667,166.1,11.29,74,98,4.21,RU,1662872903
Bandraboua,-12.7044,45.1223,22.82,75,37,0.55,YT,1662872904
Tumbi,-5.0667,32.7333,21.79,50,87,3.97,TZ,1662872904
Nizhniy Odes,63.6445,54.856,5.62,96,93,1.64,RU,1662872905
Verkhnyaya Inta,65.9811,60.3094,7.1,85,100,7.65,RU,1662872905
Minsk,53.9,27.5667,9.86,96,100,7.31,BY,1662872906
Taupo,-38.6833,176.0833,13.3,70,97,2.78,NZ,1662872739
Esim,4.8699,-2.2405,22.96,89,71,3.53,GH,1662872907
Kissidougou,9.1848,-10.0999,19.42,98,100,1.24,GN,1662872907
Puerto Escondido,15.85,-97.0667,26.52,86,98,2.24,MX,1662872907
Paita,-5.0892,-81.1144,16.72,85,63,4.84,PE,1662872908
Key Largo,25.0865,-80.4473,29.44,73,100,4.42,US,1662872909
Kamaishi,39.2667,141.8833,23.92,66,31,2.27,JP,1662872726
Boyolangu,-8.1181,111.8935,25.64,85,92,4.25,ID,1662872909
Departamento de Maldonado,-34.6667,-54.9167,3.66,86,0,1.49,UY,1662872910
Örnsköldsvik,63.2909,18.7153,9.53,93,100,1.54,SE,1662872620
Kangaatsiaq,68.3065,-53.4641,6.11,93,100,7.86,GL,1662872910
Mazatlán,23.2167,-106.4167,30.01,84,75,1.54,MX,1662872912
Nanortalik,60.1432,-45.2371,6.42,81,75,3.93,GL,1662872913
Kumbhrāj,24.3667,77.05,29.81,67,15,4.6,IN,1662872914
Alta Floresta,-9.8756,-56.0861,23.76,30,9,1.58,BR,1662872915
La Primavera,5.4906,-70.4092,22.51,92,68,1.94,CO,1662872916
Qurayyat,31.3318,37.3428,26.77,21,0,5.68,SA,1662872917
Christchurch,-43.5333,172.6333,12.17,91,100,3.6,NZ,1662872858
Methóni,36.8197,21.7049,25.12,83,3,5.76,GR,1662872919
Katsuura,35.1333,140.3,25.89,76,80,9.92,JP,1662872916
Lorengau,-2.0226,147.2712,27.94,74,61,2.76,PG,1662872919
San Patricio,28.017,-97.5169,29.35,65,31,3.37,US,1662872920
Dvinskoy,62.1535,45.1175,6.91,88,100,1.31,RU,1662872921
Chui,-33.6971,-53.4616,4.95,88,0,2.16,UY,1662872921
Kahului,20.8947,-156.47,27.01,76,20,8.23,US,1662872922
Sawākin,19.1059,37.3321,33.07,47,94,1.15,SD,1662872922
Presque Isle,46.6811,-68.0159,17.24,100,100,0.0,US,1662872922
Merauke,-8.4667,140.3333,27.71,78,82,5.21,ID,1662872624
Ulladulla,-35.35,150.4667,17.65,51,2,4.16,AU,1662872838
Bealanana,-14.55,48.7333,16.27,75,59,1.92,MG,1662872925
Williamsport,41.2412,-77.0011,19.73,88,75,0.0,US,1662872925
Muyezerskiy,63.9333,31.65,6.94,75,61,1.37,RU,1662872926
Garden City,42.3256,-83.331,23.29,77,75,3.6,US,1662872926
Springbok,-29.6643,17.8865,9.15,70,95,1.78,ZA,1662872927
Sorrento,40.626,14.3744,24.03,90,18,2.27,IT,1662872928
Bandarbeyla,9.4942,50.8122,27.67,68,100,9.76,SO,1662872928
Dannenberg,53.0967,11.09,15.08,98,24,2.22,DE,1662872929
Okha,53.5739,142.9478,13.51,72,87,3.72,RU,1662872929
Atambua,-9.1061,124.8925,29.69,50,12,1.74,ID,1662872930
Srednekolymsk,67.45,153.6833,6.52,90,100,1.91,RU,1662872930
Fortuna,40.5982,-124.1573,17.59,89,98,1.23,US,1662872930
Mahajanga,-15.7167,46.3167,26.01,50,20,5.14,MG,1662872931
Mahibadhoo,3.7833,72.9667,27.26,79,56,5.52,MV,1662872931
Smolenka,52.1352,113.4974,18.04,27,100,2.0,RU,1662872932
Alugan,12.2188,125.4808,29.26,69,96,2.68,PH,1662872932
Salekhard,66.53,66.6019,7.14,68,97,3.83,RU,1662872933
Nome,64.5011,-165.4064,8.04,76,75,4.12,US,1662872934
Port Hedland,-20.3167,118.5667,29.03,42,0,5.66,AU,1662872934
Jaru,-10.4389,-62.4664,26.0,68,25,1.42,BR,1662872935
Bonfim,3.0833,-59.95,24.99,74,41,1.93,BR,1662872936
Kiruna,67.8557,20.2251,-0.49,100,100,1.54,SE,1662872936
Upata,8.0086,-62.3989,24.55,93,75,1.4,VE,1662872937
Atikokan,48.7555,-91.6216,8.59,73,12,1.27,CA,1662872938
Kirillov,59.863,38.3813,8.31,71,49,0.64,RU,1662872938
Aykhal,66.0,111.5,4.21,63,75,3.83,RU,1662872940
Hobyo,5.3505,48.5268,26.42,75,43,10.48,SO,1662872940
Saint-Pierre,-21.3393,55.4781,23.82,53,8,1.54,RE,1662872941
Cedar City,37.6775,-113.0619,19.11,72,0,2.06,US,1662872941
Bonthe,7.5264,-12.505,24.34,88,100,2.97,SL,1662872942
Namwala,-15.7504,26.4384,17.84,37,0,1.89,ZM,1662872942
Santa Maria,-29.6842,-53.8069,5.93,85,0,1.64,BR,1662872943
Tabory,58.5198,64.5495,8.53,81,100,1.87,RU,1662872943
Broome,42.2506,-75.833,19.45,77,0,1.54,US,1662872944
Bairiki Village,1.3292,172.9752,29.0,70,20,4.12,KI,1662872944
Son La,21.3167,103.9,26.79,76,89,1.06,VN,1662872945
Taoudenni,22.6783,-3.9836,33.8,21,12,2.98,ML,1662872945
Namatanai,-3.6667,152.4333,29.28,62,93,6.25,PG,1662872946
Isangel,-19.55,169.2667,26.34,72,7,1.51,VU,1662872946
Port Lincoln,-34.7333,135.8667,14.74,55,88,4.28,AU,1662872946
Megion,61.0296,76.1136,7.01,67,98,0.67,RU,1662872947
